Country,World Region
Algeria,Africa
Angola,Africa
Argentina,South America
Armenia,Middle East
Australia,Australia & New Zealand
Austria,DACH Countries
Bahamas,Caribbean
Bahrain,Middle East
Bangladesh,Indian Subcontinent
Belarus,Eastern Europe
Belgium,DACH Countries
Benin,Africa
Bolivia,South America
Botswana,Africa
Brazil,South America
Brunei,South East Asia
Bulgaria,Eastern Europe
Burkina Faso,Africa
Burundi,Africa
Cabo Verde,Africa
Cambodia,South East Asia
Cameroon,Africa
Canada,Canada
Central African Republic,Africa
Chad,Africa
Chile,South America
China,China
Colombia,South America
Congo (Congo-Brazzaville),Africa
Cuba,Caribbean
Czechia,Eastern Europe
Djibouti,Middle East
Dominican Republic,Caribbean
East Timor,South East Asia
Ecuador,South America
Egypt,Middle East
Equatorial Guinea,Africa
Eritrea,Middle East
Estonia,Scandinavia
Eswatini,Africa
Ethiopia,Africa
Fiji,Australia & New Zealand
Finland,Scandinavia
France,France
Gabon,Africa
Gambia,Africa
Germany,DACH Countries
Ghana,Africa
Greece,Greece
Guinea,Africa
Guinea-Bissau,Africa
Guyana,South America
Haiti,Caribbean
Hungary,Eastern Europe
India,Indian Subcontinent
Indonesia,South East Asia
Iran,Middle East
Iraq,Middle East
Ireland,British Isles
Israel,Middle East
Italy,Italy
Jamaica,Caribbean
Japan,Japan
Jordan,Middle East
Kenya,Africa
Kiribati,Australia & New Zealand
Korea, Korea
Kosovo,Eastern Europe
Kuwait,Middle East
Laos,South East Asia
Latvia,Eastern Europe
Lebanon,Middle East
Lesotho,Africa
Liberia,Africa
Libya,Middle East
Liechtenstein,DACH Countries
Lithuania,Eastern Europe
Luxembourg,DACH Countries
Madagascar,Africa
Malawi,Africa
Malaysia,South East Asia
Mali,Africa
Marshall Islands,Australia & New Zealand
Mauritania,Africa
Mauritius,Africa
Mexico,Mexico
Micronesia,Australia & New Zealand
Moldova,Eastern Europe
Monaco,France
Morocco,Africa
Mozambique,Africa
Namibia,Africa
Nauru,Australia & New Zealand
New Zealand,Australia & New Zealand
Niger,Africa
Nigeria,Africa
North Korea,Korea
North Macedonia,Eastern Europe
Norway,Scandinavia
Oman,Middle East
Pakistan,Indian Subcontinent
Palau,Australia & New Zealand
Paraguay,South America
Peru,South America
Philippines,South East Asia
Poland,Eastern Europe
Qatar,Middle East
Romania,Eastern Europe
Russia,Eastern Europe
Rwanda,Africa
Samoa,Australia & New Zealand
San Marino,Italy
Sao Tome and Principe,Africa
Saudi Arabia,Middle East
Senegal,Africa
Seychelles,Africa
Sierra Leone,Africa
Singapore,South East Asia
Slovakia,Eastern Europe
Solomon Islands,Australia & New Zealand
Somalia,Africa
South Africa,Africa
South Korea,Korea
South Sudan,Africa
Spain,Spain
Sudan,Africa
Suriname,South America
Sweden,Scandinavia
Switzerland,DACH Countries
Syria,Middle East
Taiwan,China
Tanzania,Africa
Thailand,South East Asia
Tonga,Australia & New Zealand
Trinidad and Tobago,Caribbean
Tunisia,Africa
Turkey,Middle East
Tuvalu,Australia & New Zealand
Uganda,Africa
Ukraine,Eastern Europe
United Arab Emirates,Middle East
United Kingdom,British Isles
United States,USA
Uruguay,South America
Vanuatu,Australia & New Zealand
Vatican City,DACH Countries
Venezuela,South America
Vietnam,South East Asia
Yemen,Middle East
Zambia,Africa
Zimbabwe,Africa
