"MIN_WAGE_FRACTION","COUNTRY"
"37.556007450361896","Burundi"
"43.23835677536106","Central African Republic"
"55.70078213030439","Mozambique"
"56.9332099538404","Guinea"
"63.294196319584444","Sierra Leone"
"63.61929046993425","Guinea-Bissau"
"74.16481498733577","Liberia"
"75.86223443755922","Malawi"
"78.7444148490596","Burkina Faso"
"86.94476550792045","Niger"
"91.2158549677491","Chad"
"102.50499274832644","Madagascar"
"110.67382238412362","Benin"
"113.10939098592337","Mali"
"118.55469885715496","Ethiopia"
"123.63309205131542","Lesotho"
"126.91301875242848","Uganda"
"162.90114911104197","Haiti"
"165.67435409272346","Rwanda"
"168.37805756365375","Ghana"
"170.29391510725497","Tanzania"
"171.65979172876877","Cambodia"
"183.7916947056096","Sao Tome and Principe"
"184.05770867135968","Mauritania"
"192.88099453574128","Angola"
"203.22256729745217","Nigeria"
"207.71765415488912","Zambia"
"218.23688730556123","Senegal"
"230.71795339855132","Cameroon"
"278.4168412917518","Kenya"
"324.2391160936308","Zimbabwe"
"333.04328624807465","Philippines"
"338.87048592371167","Pakistan"
"362.9206576231699","Cabo Verde"
"372.6408930455896","Indonesia"
"387.91173501116117","Jamaica"
"398.19153702681695","Sudan"
"421.8773000245946","India"
"427.23625392803507","Bangladesh"
"467.02220417658964","Eswatini"
"494.10961988125314","Djibouti"
"524.7338832973551","Algeria"
"535.9304105597198","Bolivia"
"562.350781171453","Tunisia"
"586.9173961802032","Morocco"
"625.2058145844173","Jordan"
"643.8392019295727","Namibia"
"647.9762117233631","Gabon"
"648.2815360246085","Suriname"
"712.6024387232537","Iraq"
"760.9849800506217","Guyana"
"772.3999925389551","Thailand"
"778.117948530246","Equatorial Guinea"
"794.9337830707321","Botswana"
"806.6798845818579","Armenia"
"816.9905458635202","Moldova"
"835.040587257255","South Africa"
"875.3892095660212","North Macedonia"
"940.5740998740857","Dominican Republic"
"1084.953294814375","Paraguay"
"1085.89989268123","Mauritius"
"1222.5819951239282","Belarus"
"1224.0719974599117","Colombia"
"1266.49304928058","Bulgaria"
"1270.763348882269","Peru"
"1345.0118520695175","Ecuador"
"1474.168708492266","Malaysia"
"1532.602057031969","Seychelles"
"1725.3869063903762","Mexico"
"1829.2016531299807","China"
"1998.090581867947","Trinidad and Tobago"
"2071.5827473397007","Romania"
"2332.5828142924374","Chile"
"2390.3885482038318","Brazil"
"2485.0360501846267","Hungary"
"2507.678911272925","Poland"
"2550.419592579492","Latvia"
"2667.4712610890365","Argentina"
"2722.8753735049518","Greece"
"2952.285709890661","Lithuania"
"2955.381038449429","Uruguay"
"3058.753954868815","Saudi Arabia"
"3145.104659221131","Oman"
"3633.1588438125423","Bahrain"
"3697.8214406225093","Japan"
"3884.771769061681","Kuwait"
"4377.915530260824","Spain"
"4590.254067868991","Estonia"
"5521.39623446103","Italy"
"6640.6656855563215","France"
"8285.9587203164","Germany"
"8307.518542432992","United Arab Emirates"
"8341.816453648347","United States"
"8573.939562972531","Belgium"
"9553.77136477962","Austria"
"9619.548103726698","Israel"
"9673.962787243641","Canada"
"10085.647688469075","Singapore"
"10621.396156010607","Sweden"
"11651.89854793138","Finland"
"12316.546893308481","Norway"
"12792.027982318348","Qatar"
"13577.140308297754","United Kingdom"
"16483.17835340455","Switzerland"
"17362.292439752266","Ireland"
"25081.274289145727","Luxembourg"
